Furniture_Type,Material,Condition,Age_Years,Original_Price_INR,Brand,Location_Type,Selling_Price_INR
Chair,Fabric,Poor,13,32420,Godrej,Rural,58352
Bed,Metal,Excellent,12,16582,Urban Ladder,Semi-Urban,68111
Table,Fabric,Good,4,82403,Local,Urban,33133
Chair,Wood,Good,13,87205,Nilkamal,Urban,23422
Sofa,Glass,Good,0,78763,Godrej,Rural,12932
Sofa,Fabric,Good,4,53551,Local,Urban,52325
Cabinet,Metal,Poor,5,84483,Nilkamal,Rural,28060
Wardrobe,Glass,Poor,13,80468,Godrej,Urban,22037
Bed,Metal,Excellent,10,13985,Nilkamal,Semi-Urban,29843
Cabinet,Plastic,Average,1,9375,IKEA,Semi-Urban,17625
Wardrobe,Metal,Excellent,7,18805,IKEA,Semi-Urban,67693
Wardrobe,Glass,Average,12,20107,Urban Ladder,Rural,66460
Cabinet,Plastic,Good,1,45401,Urban Ladder,Rural,53908
Desk,Glass,Good,14,76071,Urban Ladder,Semi-Urban,27586
Wardrobe,Glass,Good,13,40588,Urban Ladder,Semi-Urban,32684
Desk,Plastic,Good,8,19470,Nilkamal,Urban,56985
Sofa,Metal,Poor,13,27081,Godrej,Semi-Urban,11077
Sofa,Wood,Excellent,12,9846,Godrej,Semi-Urban,32585
Wardrobe,Wood,Average,1,72685,Urban Ladder,Semi-Urban,67807
Sofa,Wood,Average,2,32925,IKEA,Rural,20458
Bed,Wood,Poor,7,56989,Local,Rural,52848
Desk,Fabric,Good,10,71748,Urban Ladder,Semi-Urban,65136
Desk,Wood,Excellent,5,72458,Urban Ladder,Urban,65238
Wardrobe,Plastic,Good,0,50697,IKEA,Urban,49038
Sofa,Wood,Poor,14,25694,Local,Semi-Urban,42201
Chair,Glass,Average,3,9042,Nilkamal,Rural,40625
Cabinet,Wood,Poor,4,11013,Nilkamal,Semi-Urban,36350
Cabinet,Metal,Average,13,34285,Local,Urban,28504
Desk,Plastic,Excellent,10,45446,Local,Rural,10463
Wardrobe,Plastic,Average,2,55679,Nilkamal,Rural,40631
Wardrobe,Fabric,Excellent,0,61068,Urban Ladder,Rural,68199
Bed,Glass,Good,2,6754,Urban Ladder,Semi-Urban,5193
Table,Plastic,Good,12,14187,IKEA,Semi-Urban,67808
Table,Metal,Poor,8,40133,Local,Semi-Urban,2223
Desk,Wood,Excellent,1,69082,Urban Ladder,Urban,19102
Cabinet,Plastic,Good,0,39497,Urban Ladder,Rural,30802
Bed,Metal,Excellent,6,58036,IKEA,Rural,14854
Bed,Wood,Good,12,51455,Local,Urban,31151
Bed,Fabric,Good,6,7516,IKEA,Urban,47875
Desk,Plastic,Average,4,69795,IKEA,Rural,65424
Table,Plastic,Poor,1,26376,Nilkamal,Rural,11423
Cabinet,Metal,Average,13,87853,IKEA,Urban,48255
Bed,Glass,Excellent,0,71045,Local,Semi-Urban,14588
Cabinet,Fabric,Good,12,47968,Urban Ladder,Semi-Urban,59014
Sofa,Glass,Poor,4,15264,Urban Ladder,Semi-Urban,63249
Wardrobe,Plastic,Good,9,20946,Nilkamal,Urban,42148
Wardrobe,Glass,Good,3,34635,Local,Rural,25006
Cabinet,Wood,Average,8,78813,Urban Ladder,Urban,3899
Chair,Fabric,Excellent,4,29365,IKEA,Semi-Urban,33591
Chair,Glass,Poor,10,27459,Godrej,Semi-Urban,19258
Desk,Wood,Poor,9,66913,Godrej,Semi-Urban,59839
Desk,Metal,Poor,11,72205,Godrej,Urban,33413
Wardrobe,Glass,Excellent,11,87401,Godrej,Urban,60653
Sofa,Fabric,Poor,1,59350,IKEA,Semi-Urban,33291
Table,Wood,Excellent,3,19588,Urban Ladder,Semi-Urban,37423
Table,Glass,Poor,12,18040,Nilkamal,Rural,53375
Desk,Metal,Good,11,20125,IKEA,Urban,28076
Sofa,Glass,Excellent,8,33759,Urban Ladder,Rural,54920
Desk,Wood,Average,7,75585,Local,Semi-Urban,5740
Table,Glass,Poor,2,84052,Urban Ladder,Semi-Urban,16380
Cabinet,Fabric,Average,7,40031,Urban Ladder,Semi-Urban,28444
Desk,Plastic,Excellent,12,59989,Urban Ladder,Rural,56921
Bed,Wood,Good,1,7737,IKEA,Urban,34212
Cabinet,Wood,Average,2,53257,Urban Ladder,Urban,69758
Desk,Wood,Average,13,84563,Urban Ladder,Rural,25517
Wardrobe,Wood,Good,4,13015,Local,Urban,62044
Desk,Glass,Good,10,62991,Local,Rural,29984
Wardrobe,Fabric,Excellent,11,39965,Godrej,Rural,19393
Sofa,Metal,Poor,13,18095,IKEA,Urban,42203
Table,Fabric,Average,9,18053,Urban Ladder,Urban,36531
Cabinet,Wood,Average,9,34519,Godrej,Rural,41154
Cabinet,Glass,Excellent,7,66386,Godrej,Urban,3784
Chair,Glass,Poor,0,55337,IKEA,Urban,44603
Chair,Wood,Excellent,3,26063,Godrej,Rural,20843
Table,Glass,Average,0,74842,Godrej,Semi-Urban,37534
Chair,Wood,Average,0,15573,IKEA,Rural,54170
Cabinet,Fabric,Good,11,20248,Nilkamal,Urban,7715
Desk,Plastic,Good,4,19941,Godrej,Semi-Urban,19899
Sofa,Glass,Poor,5,81554,Local,Urban,43377
Sofa,Wood,Average,14,16088,Godrej,Rural,10643
Table,Wood,Average,0,89211,IKEA,Rural,65039
Chair,Glass,Good,10,19124,IKEA,Rural,25547
Desk,Metal,Excellent,5,85367,Nilkamal,Semi-Urban,63259
Sofa,Wood,Excellent,4,6819,Nilkamal,Urban,59144
Sofa,Glass,Average,3,14164,Local,Semi-Urban,59038
Bed,Wood,Average,9,35701,Local,Rural,49854
Bed,Metal,Poor,4,85011,Godrej,Urban,9064
Cabinet,Plastic,Poor,7,52437,Nilkamal,Rural,14633
Sofa,Metal,Good,8,87841,Local,Urban,65785
Table,Fabric,Average,10,80034,Godrej,Semi-Urban,4544
Wardrobe,Glass,Excellent,13,35869,Urban Ladder,Semi-Urban,8587
Wardrobe,Metal,Poor,11,39603,Godrej,Semi-Urban,35556
Desk,Plastic,Good,1,7235,Local,Semi-Urban,21131
Sofa,Wood,Good,5,15015,Godrej,Urban,21857
Sofa,Glass,Excellent,2,17601,Urban Ladder,Urban,29340
Cabinet,Metal,Poor,14,10509,Local,Semi-Urban,49460
Sofa,Plastic,Excellent,1,42484,Godrej,Semi-Urban,2499
Table,Metal,Good,11,19918,Local,Urban,7838
Bed,Fabric,Average,13,43975,Godrej,Rural,35312
Sofa,Glass,Excellent,12,44520,IKEA,Semi-Urban,6393
Sofa,Wood,Good,0,38693,Local,Urban,10770
Cabinet,Plastic,Average,3,29959,Local,Semi-Urban,14813
Chair,Metal,Average,7,3909,Local,Urban,55051
Cabinet,Glass,Poor,2,78141,Local,Semi-Urban,27633
Cabinet,Metal,Poor,4,83041,Godrej,Semi-Urban,69963
Table,Glass,Good,13,3118,Nilkamal,Rural,3334
Desk,Fabric,Excellent,9,31638,Godrej,Rural,42022
Sofa,Metal,Average,4,71649,Urban Ladder,Rural,31179
Cabinet,Fabric,Poor,4,83301,IKEA,Rural,16421
Cabinet,Plastic,Poor,10,86411,Godrej,Semi-Urban,22284
Chair,Fabric,Excellent,8,21480,Godrej,Semi-Urban,54471
Cabinet,Glass,Poor,14,10944,Local,Rural,14976
Wardrobe,Plastic,Good,7,38022,Urban Ladder,Rural,47943
Desk,Metal,Excellent,7,51707,Local,Semi-Urban,32750
Sofa,Metal,Average,12,58255,Local,Urban,5879
Sofa,Glass,Good,12,69769,Nilkamal,Rural,44503
Chair,Wood,Average,0,31708,IKEA,Urban,58181
Table,Wood,Average,0,33937,Nilkamal,Semi-Urban,58187
Sofa,Metal,Poor,1,61823,Local,Urban,59284
Wardrobe,Glass,Good,13,41399,IKEA,Rural,60312
Sofa,Wood,Good,7,68665,Godrej,Rural,68998
Wardrobe,Fabric,Excellent,9,21155,Urban Ladder,Rural,37835
Desk,Metal,Good,0,23838,Nilkamal,Rural,48791
Desk,Fabric,Excellent,14,26154,Urban Ladder,Rural,37278
Bed,Glass,Good,3,47035,Local,Semi-Urban,5363
Bed,Fabric,Average,8,33294,IKEA,Urban,17573
Wardrobe,Wood,Excellent,1,73809,Godrej,Semi-Urban,41593
Table,Wood,Good,2,77233,IKEA,Semi-Urban,51396
Sofa,Plastic,Excellent,10,8628,Urban Ladder,Semi-Urban,58044
Cabinet,Metal,Poor,5,48849,Urban Ladder,Urban,67592
Sofa,Glass,Poor,12,28414,Godrej,Urban,68887
Bed,Metal,Excellent,14,73254,Godrej,Semi-Urban,12111
Cabinet,Fabric,Excellent,10,22060,IKEA,Urban,53008
Wardrobe,Glass,Average,9,3096,Nilkamal,Semi-Urban,64322
Cabinet,Glass,Good,2,86883,IKEA,Semi-Urban,17319
Sofa,Wood,Poor,14,14058,Urban Ladder,Rural,52535
Sofa,Fabric,Poor,14,15218,IKEA,Urban,33967
Table,Wood,Good,3,19982,Local,Rural,8954
Chair,Wood,Poor,8,63325,IKEA,Semi-Urban,21727
Cabinet,Plastic,Poor,8,72499,IKEA,Semi-Urban,30204
Bed,Wood,Excellent,9,49622,Local,Semi-Urban,14659
Bed,Metal,Poor,4,26677,Urban Ladder,Rural,51323
Chair,Glass,Poor,6,47741,Godrej,Rural,15803
Sofa,Wood,Poor,8,69860,IKEA,Semi-Urban,40360
Table,Metal,Good,7,30166,Nilkamal,Rural,59051
Table,Fabric,Average,10,46374,Godrej,Semi-Urban,1660
Bed,Glass,Excellent,6,49908,Nilkamal,Semi-Urban,45821
Table,Fabric,Average,11,69875,IKEA,Rural,55209
Desk,Metal,Poor,7,51316,Nilkamal,Urban,44445
Chair,Fabric,Poor,4,15286,Godrej,Semi-Urban,9743
Sofa,Fabric,Poor,4,66539,Nilkamal,Semi-Urban,45125
Desk,Fabric,Average,4,32235,Nilkamal,Rural,6205
Chair,Wood,Good,0,80131,Godrej,Rural,17593
Wardrobe,Wood,Good,5,62890,Godrej,Rural,63162
Cabinet,Wood,Excellent,4,28552,Godrej,Semi-Urban,39200
Bed,Glass,Average,7,16629,Godrej,Urban,68185
Table,Metal,Good,7,49489,Local,Urban,4059
Wardrobe,Wood,Excellent,1,61958,IKEA,Urban,11869
Table,Fabric,Poor,10,61928,Godrej,Semi-Urban,61599
Desk,Fabric,Poor,5,41258,Urban Ladder,Rural,35335
Sofa,Fabric,Excellent,11,15843,Nilkamal,Urban,19713
Sofa,Fabric,Good,10,26988,Godrej,Urban,35190
Sofa,Plastic,Average,9,36301,Godrej,Urban,24630
Table,Glass,Excellent,9,83513,IKEA,Semi-Urban,69080
Wardrobe,Metal,Good,14,10951,Godrej,Rural,40081
Sofa,Metal,Excellent,5,78101,Local,Rural,41365
Wardrobe,Wood,Good,2,31715,Urban Ladder,Rural,68633
Table,Plastic,Poor,0,55975,Urban Ladder,Rural,69357
Desk,Metal,Excellent,6,64293,Godrej,Urban,55510
Wardrobe,Glass,Average,9,52216,IKEA,Rural,32148
Desk,Fabric,Excellent,4,40109,Godrej,Urban,28097
Table,Wood,Poor,11,40850,Nilkamal,Semi-Urban,65011
Table,Glass,Poor,11,49664,Urban Ladder,Semi-Urban,35585
Bed,Metal,Good,9,79870,Nilkamal,Semi-Urban,32977
Table,Plastic,Poor,4,22369,Local,Rural,33157
Table,Wood,Good,10,63216,Urban Ladder,Rural,54207
Chair,Metal,Poor,7,23639,Urban Ladder,Urban,56956
Sofa,Wood,Good,11,67305,Local,Rural,68105
Bed,Metal,Average,4,85924,Nilkamal,Semi-Urban,64401
Cabinet,Fabric,Good,4,21506,Godrej,Rural,67140
Bed,Plastic,Good,0,66625,IKEA,Urban,54405
Bed,Fabric,Average,1,81302,Nilkamal,Semi-Urban,6542
Cabinet,Metal,Good,4,75232,Local,Semi-Urban,21919
Chair,Glass,Good,6,65766,Local,Urban,52499
Desk,Fabric,Average,2,6981,Local,Semi-Urban,60421
Table,Glass,Poor,11,85391,Urban Ladder,Urban,53224
Sofa,Metal,Excellent,14,22789,Godrej,Urban,24849
Wardrobe,Plastic,Good,0,3308,Urban Ladder,Rural,33127
Cabinet,Glass,Poor,10,76243,Urban Ladder,Semi-Urban,51635
Desk,Metal,Excellent,11,84058,Urban Ladder,Rural,33764
Cabinet,Glass,Average,1,38815,Local,Rural,60904
Table,Fabric,Good,2,29497,Nilkamal,Urban,6147
Chair,Metal,Good,11,46959,IKEA,Urban,32127
Cabinet,Fabric,Average,8,37785,IKEA,Rural,50778
Table,Wood,Good,7,16366,Godrej,Urban,49378
Table,Metal,Excellent,14,40649,Godrej,Semi-Urban,14800
Chair,Glass,Excellent,3,29928,Local,Semi-Urban,63762
Bed,Wood,Average,7,89117,IKEA,Rural,35774
Bed,Fabric,Good,12,27105,Nilkamal,Semi-Urban,37743
Sofa,Fabric,Poor,8,22843,Local,Rural,31430
Sofa,Glass,Good,2,73970,Godrej,Semi-Urban,14066
Bed,Wood,Average,5,36339,Local,Urban,15616
Desk,Plastic,Poor,7,88509,Godrej,Semi-Urban,33007
Wardrobe,Glass,Excellent,9,80171,IKEA,Urban,34503
Table,Fabric,Excellent,6,69132,Local,Rural,6253
Wardrobe,Metal,Poor,8,24457,Urban Ladder,Semi-Urban,28056
Table,Wood,Poor,6,53222,Godrej,Urban,58809
Bed,Plastic,Average,0,83370,Urban Ladder,Urban,10891
Sofa,Metal,Good,8,89245,Godrej,Rural,41967
Desk,Wood,Excellent,11,71907,Urban Ladder,Rural,66464
Sofa,Glass,Good,4,3157,IKEA,Semi-Urban,10509
Wardrobe,Glass,Excellent,5,84568,IKEA,Semi-Urban,6886
Sofa,Wood,Good,1,61266,Nilkamal,Semi-Urban,20987
Bed,Plastic,Excellent,14,6318,Nilkamal,Urban,34458
Desk,Wood,Good,1,81998,Nilkamal,Rural,11410
Wardrobe,Metal,Average,12,62690,Local,Semi-Urban,41622
Desk,Metal,Excellent,3,77493,Godrej,Semi-Urban,26906
Table,Glass,Average,3,80379,Local,Urban,37740
Sofa,Wood,Excellent,4,71148,Nilkamal,Semi-Urban,39541
Desk,Glass,Excellent,6,23946,Godrej,Urban,36853
Chair,Plastic,Excellent,12,15020,Local,Urban,1950
Sofa,Metal,Good,10,81309,IKEA,Rural,15674
Table,Fabric,Excellent,11,33247,Godrej,Urban,22313
Desk,Fabric,Average,14,3443,Nilkamal,Rural,10456
Wardrobe,Wood,Good,0,41741,IKEA,Urban,64474
Table,Wood,Good,9,20288,Godrej,Rural,45013
Chair,Fabric,Excellent,3,5910,Local,Urban,34749
Desk,Wood,Poor,12,47169,Nilkamal,Semi-Urban,53059
Cabinet,Metal,Good,8,20309,Local,Rural,16538
Cabinet,Plastic,Excellent,7,80449,IKEA,Rural,15980
Bed,Plastic,Average,2,17265,IKEA,Urban,6148
Sofa,Glass,Poor,5,27235,IKEA,Semi-Urban,17959
Wardrobe,Metal,Good,10,58082,Godrej,Semi-Urban,17666
Bed,Wood,Poor,8,61095,Nilkamal,Rural,30844
Desk,Wood,Good,7,77962,IKEA,Semi-Urban,12027
Cabinet,Glass,Poor,6,5922,Local,Semi-Urban,68496
Cabinet,Glass,Poor,6,61006,Nilkamal,Urban,41769
Cabinet,Wood,Average,0,43323,Local,Semi-Urban,64290
Desk,Wood,Poor,14,30771,Local,Semi-Urban,3498
Cabinet,Metal,Average,4,12776,IKEA,Semi-Urban,36858
Table,Glass,Excellent,6,69455,Nilkamal,Semi-Urban,49571
Desk,Metal,Good,13,40772,Urban Ladder,Urban,26274
Wardrobe,Wood,Average,12,56371,Godrej,Urban,12159
Bed,Fabric,Good,1,23954,Urban Ladder,Semi-Urban,2597
Wardrobe,Fabric,Average,14,23837,Godrej,Urban,69177
Chair,Wood,Good,5,78494,Nilkamal,Rural,57672
Cabinet,Glass,Average,13,8575,IKEA,Urban,57988
Chair,Fabric,Good,1,54105,Nilkamal,Urban,28384
Sofa,Glass,Excellent,2,54720,Urban Ladder,Urban,46305
Sofa,Fabric,Good,0,76481,Local,Rural,50923
Chair,Glass,Excellent,2,57080,Godrej,Rural,48811
Desk,Fabric,Excellent,14,79399,Godrej,Rural,44910
Wardrobe,Glass,Excellent,6,84393,Urban Ladder,Urban,4811
Chair,Metal,Poor,4,35309,IKEA,Rural,26518
Sofa,Glass,Good,3,25954,Nilkamal,Rural,10300
Chair,Metal,Poor,14,52594,Urban Ladder,Urban,35360
Desk,Metal,Poor,14,36368,Nilkamal,Semi-Urban,5284
Chair,Wood,Good,12,80670,IKEA,Urban,57264
Wardrobe,Metal,Excellent,11,14580,Local,Urban,33890
Bed,Plastic,Poor,7,23966,Nilkamal,Urban,68980
Desk,Metal,Poor,7,84573,IKEA,Semi-Urban,37139
Sofa,Glass,Average,0,71322,Urban Ladder,Urban,8104
Wardrobe,Metal,Good,8,87615,Local,Urban,50085
Chair,Glass,Poor,13,18231,Local,Semi-Urban,41907
Chair,Glass,Good,8,14840,Local,Urban,3638
Bed,Plastic,Good,1,5052,Godrej,Urban,37612
Sofa,Metal,Poor,1,36399,IKEA,Urban,25032
Sofa,Metal,Good,7,71978,Nilkamal,Semi-Urban,9181
Table,Fabric,Excellent,11,4754,Urban Ladder,Urban,40967
Sofa,Fabric,Poor,10,78306,Local,Semi-Urban,53282
Bed,Wood,Poor,5,82035,Local,Semi-Urban,14335
Cabinet,Glass,Poor,2,68525,Local,Rural,16781
Table,Plastic,Average,11,3025,IKEA,Urban,25798
Table,Fabric,Average,1,13401,Urban Ladder,Urban,29726
Chair,Metal,Average,4,9553,IKEA,Rural,68557
Chair,Wood,Average,14,74295,Urban Ladder,Rural,40316
Sofa,Plastic,Poor,7,10755,Nilkamal,Urban,39412
Table,Metal,Excellent,5,81920,Godrej,Urban,32510
Chair,Metal,Good,11,36897,Urban Ladder,Rural,11784
Bed,Glass,Good,2,48064,IKEA,Urban,64174
Chair,Glass,Poor,11,89065,IKEA,Urban,2236
Desk,Fabric,Excellent,11,41409,IKEA,Urban,31094
Desk,Fabric,Good,8,58049,Godrej,Rural,63738
Chair,Metal,Excellent,7,49669,Urban Ladder,Rural,17744
Table,Metal,Poor,9,17371,Urban Ladder,Semi-Urban,8163
Cabinet,Fabric,Average,5,75905,Urban Ladder,Semi-Urban,8848
Cabinet,Fabric,Excellent,0,72431,Urban Ladder,Urban,40301
Table,Metal,Good,1,82989,Local,Urban,65737
Wardrobe,Plastic,Good,3,7797,Local,Semi-Urban,48443
Cabinet,Metal,Good,1,48809,IKEA,Semi-Urban,42845
Desk,Plastic,Average,2,70364,Local,Semi-Urban,62863
Bed,Plastic,Excellent,13,78263,Urban Ladder,Urban,55591
Table,Metal,Excellent,7,81053,Urban Ladder,Urban,12066
Sofa,Wood,Good,8,19943,Local,Semi-Urban,34781
Desk,Fabric,Excellent,5,29831,Nilkamal,Rural,58870
Bed,Glass,Good,3,45044,IKEA,Semi-Urban,34932
Bed,Metal,Excellent,10,27814,Godrej,Rural,46444
Table,Plastic,Average,1,76586,IKEA,Rural,23708
Bed,Metal,Average,6,63258,IKEA,Urban,40506
Table,Fabric,Poor,9,62439,IKEA,Rural,24195
Cabinet,Plastic,Poor,10,78199,Local,Rural,52192
Chair,Glass,Poor,6,75436,IKEA,Semi-Urban,62676
Desk,Glass,Excellent,9,41355,Urban Ladder,Semi-Urban,41425
Wardrobe,Glass,Average,8,62389,IKEA,Rural,9999
Chair,Wood,Average,4,18784,Urban Ladder,Semi-Urban,45929
Desk,Plastic,Average,9,6683,Local,Semi-Urban,45293
Table,Plastic,Good,3,76932,Local,Semi-Urban,13056
Desk,Wood,Excellent,9,10347,IKEA,Semi-Urban,2203
Cabinet,Plastic,Excellent,5,88520,Urban Ladder,Rural,1854
Table,Wood,Poor,11,46097,Urban Ladder,Rural,34814
Chair,Metal,Good,1,86133,Urban Ladder,Rural,16473
Sofa,Fabric,Good,1,59499,Urban Ladder,Rural,67145
Sofa,Glass,Average,11,17072,Godrej,Rural,52150
Desk,Wood,Poor,8,15026,Local,Urban,64997
Sofa,Wood,Excellent,6,55832,Urban Ladder,Semi-Urban,59406
Table,Wood,Good,6,43966,Godrej,Urban,60431
Bed,Metal,Average,12,34041,Godrej,Rural,57544
Table,Wood,Excellent,4,72034,Local,Semi-Urban,66331
Bed,Fabric,Average,6,35256,Nilkamal,Rural,66300
Chair,Fabric,Excellent,8,17905,IKEA,Urban,16444
Wardrobe,Glass,Average,9,70673,Local,Rural,47959
Bed,Metal,Excellent,4,84482,Nilkamal,Semi-Urban,34444
Sofa,Fabric,Poor,8,57100,IKEA,Rural,47943
Table,Plastic,Excellent,0,84156,IKEA,Rural,29274
Chair,Plastic,Excellent,12,83359,IKEA,Semi-Urban,46540
Sofa,Plastic,Excellent,14,73996,Godrej,Urban,6556
Chair,Wood,Average,11,42666,Urban Ladder,Urban,59738
Wardrobe,Wood,Good,2,81258,IKEA,Semi-Urban,66457
Cabinet,Plastic,Excellent,6,75750,Urban Ladder,Semi-Urban,15098
Table,Glass,Excellent,3,16310,IKEA,Urban,18310
Desk,Glass,Poor,14,83410,Godrej,Semi-Urban,3027
Table,Wood,Excellent,1,30943,IKEA,Urban,6750
Wardrobe,Plastic,Poor,11,34917,Local,Rural,16658
Table,Glass,Excellent,13,57666,Nilkamal,Urban,27982
Desk,Wood,Average,2,4702,IKEA,Semi-Urban,61463
Bed,Plastic,Good,6,60873,Nilkamal,Rural,28649
Chair,Metal,Good,7,23058,Nilkamal,Semi-Urban,54219
Desk,Plastic,Good,10,44262,Godrej,Urban,10447
Sofa,Plastic,Average,8,17537,Nilkamal,Rural,7803
Wardrobe,Fabric,Poor,5,80795,Godrej,Urban,63157
Bed,Fabric,Good,9,84428,IKEA,Rural,43242
Sofa,Metal,Average,8,23635,Urban Ladder,Semi-Urban,38909
Sofa,Metal,Average,3,31544,Godrej,Urban,7280
Wardrobe,Plastic,Excellent,11,68549,Nilkamal,Rural,7683
Bed,Glass,Poor,4,54955,Nilkamal,Rural,60917
Cabinet,Metal,Average,0,40308,IKEA,Rural,21873
Sofa,Plastic,Poor,13,76626,Godrej,Urban,54120
Sofa,Wood,Good,8,5169,IKEA,Semi-Urban,51700
Bed,Fabric,Good,8,13423,Godrej,Semi-Urban,18082
Table,Glass,Good,8,45803,Urban Ladder,Rural,32444
Sofa,Plastic,Excellent,2,11017,Local,Semi-Urban,25347
Chair,Wood,Excellent,12,46678,IKEA,Urban,56113
Bed,Fabric,Poor,14,60392,Nilkamal,Semi-Urban,2793
Sofa,Wood,Poor,9,35948,IKEA,Semi-Urban,55659
Wardrobe,Plastic,Excellent,9,80147,Godrej,Urban,22818
Desk,Metal,Average,9,35219,IKEA,Urban,24813
Chair,Fabric,Poor,7,33860,Urban Ladder,Semi-Urban,44424
Desk,Wood,Poor,2,24063,Godrej,Semi-Urban,28661
Desk,Metal,Good,12,50574,Nilkamal,Semi-Urban,60573
Sofa,Glass,Poor,5,82601,Nilkamal,Rural,40541
Chair,Plastic,Poor,4,27324,Godrej,Urban,28750
Chair,Plastic,Average,7,69822,Urban Ladder,Rural,9857
Table,Fabric,Poor,2,44666,IKEA,Rural,45189
Desk,Wood,Average,13,27869,Local,Rural,35959
Chair,Glass,Good,0,74164,Nilkamal,Rural,56044
Table,Fabric,Excellent,11,32093,Urban Ladder,Semi-Urban,46798
Bed,Fabric,Good,8,49650,Urban Ladder,Urban,69451
Table,Wood,Average,9,69196,Urban Ladder,Semi-Urban,66989
Wardrobe,Glass,Average,8,51016,IKEA,Urban,24726
Cabinet,Wood,Poor,2,22562,Urban Ladder,Rural,10318
Sofa,Plastic,Poor,1,71925,Urban Ladder,Urban,3805
Bed,Metal,Excellent,3,58553,Godrej,Urban,58686
Cabinet,Plastic,Average,13,60279,Godrej,Urban,54607
Cabinet,Plastic,Average,7,38608,Urban Ladder,Urban,69330
Bed,Fabric,Good,5,63840,Urban Ladder,Semi-Urban,55914
Wardrobe,Plastic,Excellent,9,13770,Godrej,Rural,69121
Table,Glass,Good,14,58461,IKEA,Semi-Urban,14179
Sofa,Plastic,Poor,14,29627,Godrej,Rural,14379
Table,Glass,Poor,0,9146,Godrej,Semi-Urban,8303
Chair,Wood,Good,14,62753,Godrej,Semi-Urban,5716
Table,Fabric,Poor,7,55079,Godrej,Semi-Urban,12423
Bed,Glass,Good,4,61074,Local,Urban,51911
Sofa,Plastic,Average,12,85816,Nilkamal,Urban,59902
Table,Fabric,Average,5,65507,IKEA,Urban,57831
Sofa,Fabric,Poor,4,26251,IKEA,Urban,21332
Sofa,Glass,Excellent,9,34896,Urban Ladder,Semi-Urban,50378
Chair,Glass,Average,4,42113,Local,Semi-Urban,23815
Chair,Metal,Poor,2,56711,Urban Ladder,Rural,66052
Bed,Metal,Excellent,13,16322,IKEA,Urban,27228
Wardrobe,Fabric,Poor,3,10747,IKEA,Urban,5876
Cabinet,Metal,Good,4,61697,Urban Ladder,Urban,41432
Sofa,Plastic,Poor,10,38903,Nilkamal,Urban,65877
Wardrobe,Wood,Good,10,70813,Urban Ladder,Urban,38720
Cabinet,Fabric,Average,1,43970,Nilkamal,Urban,67522
Cabinet,Wood,Average,5,70192,Nilkamal,Semi-Urban,68744
Bed,Metal,Poor,1,45207,Godrej,Urban,14856
Cabinet,Glass,Excellent,3,53812,IKEA,Urban,48014
Cabinet,Fabric,Poor,11,35403,Godrej,Semi-Urban,38274
Sofa,Metal,Poor,0,37531,IKEA,Rural,22511
Sofa,Plastic,Average,3,67009,Godrej,Semi-Urban,20914
Desk,Fabric,Average,13,18413,Nilkamal,Urban,38570
Wardrobe,Fabric,Poor,6,43633,Godrej,Semi-Urban,33359
Table,Glass,Average,14,75446,Local,Urban,55032
Chair,Fabric,Good,13,63032,Godrej,Semi-Urban,27887
Table,Glass,Poor,7,38385,Godrej,Rural,18821
Wardrobe,Metal,Average,1,76637,Godrej,Urban,33767
Chair,Plastic,Poor,2,53578,Local,Semi-Urban,20755
Table,Plastic,Average,0,76603,IKEA,Semi-Urban,26958
Desk,Fabric,Good,14,31235,Godrej,Semi-Urban,11700
Chair,Fabric,Good,6,73744,IKEA,Urban,5136
Sofa,Metal,Poor,3,83464,Urban Ladder,Semi-Urban,56381
Table,Glass,Good,10,78961,Nilkamal,Urban,66275
Chair,Plastic,Good,9,31485,Urban Ladder,Urban,39189
Desk,Glass,Average,7,16182,Local,Rural,48456
Cabinet,Metal,Poor,4,74758,Local,Rural,39516
Chair,Plastic,Average,8,17480,IKEA,Semi-Urban,28212
Chair,Plastic,Average,5,59960,IKEA,Urban,69053
Desk,Wood,Excellent,10,54213,Godrej,Semi-Urban,29225
Cabinet,Metal,Good,9,66094,Urban Ladder,Urban,21695
Table,Metal,Average,1,48057,IKEA,Urban,45131
Bed,Wood,Average,0,38061,IKEA,Semi-Urban,39539
Table,Glass,Average,0,86545,IKEA,Urban,27671
Cabinet,Wood,Good,11,18789,Nilkamal,Semi-Urban,20397
Wardrobe,Metal,Good,11,32107,IKEA,Urban,55179
Desk,Glass,Good,13,29287,Nilkamal,Semi-Urban,55682
Table,Plastic,Poor,13,18014,Local,Semi-Urban,38637
Chair,Wood,Average,8,11574,Godrej,Rural,64271
Desk,Glass,Good,0,41597,Urban Ladder,Rural,56128
Sofa,Glass,Average,2,20467,IKEA,Urban,68223
Cabinet,Glass,Poor,11,46477,Nilkamal,Semi-Urban,6923
Table,Wood,Excellent,1,57354,IKEA,Semi-Urban,6305
Desk,Plastic,Poor,14,80897,IKEA,Semi-Urban,51500
Table,Glass,Good,14,67965,Nilkamal,Semi-Urban,52302
Desk,Wood,Good,14,88417,IKEA,Semi-Urban,31267
Chair,Metal,Poor,11,24880,Urban Ladder,Urban,58789
Sofa,Wood,Average,3,30251,Local,Rural,60715
Sofa,Wood,Good,0,55546,Godrej,Semi-Urban,7425
Wardrobe,Wood,Good,14,47016,IKEA,Semi-Urban,32373
Desk,Glass,Poor,0,29889,Nilkamal,Semi-Urban,34959
